StationID,StationName,StationAddressBlockNumber,StationAddressStreet,StationAddressPostalCode
ST01,Raffles Place MRT,5,Raffles Place,S048618
ST02,International Plaza,10,Anson Road,S079903
ST03,Tiong Bahru MRT,300,Tiong Bahru Road,S168731
ST04,HarbourFront MRT,81,Telok Blangah Road,S098867
ST05,Dover MRT,200,Commonwealth Avenue West,S138677
ST06,High Street Centre,1,North Bridge Road,S179094
ST07,Rochor MRT,11,Rochor Canal Road,S188505
ST08,Mustafa Centre,145,Syed Alwi Road,S207704
ST09,Orchard MRT,437,Orchard Road,S238878
ST10,Stevens MRT,92,Stevens Road,S257877
ST11,Novena MRT,250,Thomson Road,S307642
ST12,Toa Payoh MRT,510,Lorong 6 Toa Payoh,S319398
ST13,MacPherson MRT,10,Circuit Link,S378956
ST14,Paya Lebar MRT,30,Paya Lebar Road,S409006
ST15,Marine Parade Community Building,278,Marine Parade Road,S449282
ST16,Tanah Merah MRT,315,New Upper Changi Road,S467347
ST17,Changi Airport,70,Airport Boulevard,S819661
ST18,Tampines MRT,20,Tampines Central 1,S529538
ST19,Sengkang MRT,5,Sengkang Square,S545062
ST20,Bishan MRT,200,Bishan Road,S579827
ST21,King Albert Park MRT,2,Blackmore Drive,S599987
ST22,Jurong East MRT,10,Jurong East Street 12,S609690
ST23,Bukit Panjang LRT,11,Petir Road,S678268
ST24,Woodlands MRT,30,Woodlands Avenue 2,S738343
ST25,Springleaf MRT,825,Upper Thomson Road,S787140
ST26,Yishun MRT,301,Yishun Avenue 2,S769093
ST27,Seletar Airport,21,Seletar Aerospace Road 1,S797405
